Mês,Pedidos,Mês_num,Tendência,Trimestre,Ano,Variação_vs_média
2016-09-01,3,0,,3,2016,-99.92702653396307
2016-10-01,308,1,104.0,4,2016,-92.5080574868749
2016-12-01,1,2,366.0,4,2016,-99.97567551132103
2017-01-01,789,3,841.0,1,2017,-80.8079784322867
2017-02-01,1733,4,1721.0,1,2017,-57.84566111933188
2017-03-01,2641,5,2255.0,1,2017,-35.75902539882026
2017-04-01,2391,6,2897.3333333333335,2,2017,-41.84014756856465
2017-05-01,3660,7,3089.3333333333335,2,2017,-10.972371434942122
2017-06-01,3217,8,3615.3333333333335,2,2017,-21.74811991972918
2017-07-01,3969,9,3826.3333333333335,3,2017,-3.4561044331380546
2017-08-01,4293,10,4168.333333333333,3,2017,4.425029898850676
2017-09-01,4243,11,4368.0,3,2017,3.2088054649017974
2017-10-01,4568,12,5420.666666666667,4,2017,11.114264285569506
2017-11-01,7451,13,5881.0,4,2017,81.24176514706181
2017-12-01,5624,14,6765.0,4,2017,36.80092433056981
2018-01-01,7220,15,6512.666666666667,1,2018,75.622808262218
2018-02-01,6694,16,7034.0,1,2018,62.8281272170758
2018-03-01,7188,17,6938.666666666667,1,2018,74.84442462449073
2018-04-01,6934,18,6991.666666666667,2,2018,68.66600450003043
2018-05-01,6853,19,6649.0,2,2018,66.69572091703324
2018-06-01,6160,20,6428.666666666667,2,2018,49.83885026250178
2018-07-01,6273,21,6295.0,3,2018,52.58751748322625
2018-08-01,6452,22,4242.0,3,2018,56.941600956763224
2018-09-01,1,23,,3,2018,-99.97567551132103
